id,subject,fold,model,th,f1
SR007-CR1-3600-3664,SR007,1,3D,0.55,0.880048947703874
SR007-CR1-3600-3664,SR007,1,3D,0.6,0.8717156143708185
SR007-CR1-3600-3664,SR007,1,3D,0.65,0.8717156143708185
SR007-CR1-3600-3664,SR007,1,3D,0.7,0.8239744156201136
SR007-CR1-3600-3664,SR007,1,3D,0.75,0.7464078941458996
SR007-CR1-3600-3664,SR007,1,3D,0.8,0.6444986810503692
SR007-CR1-3600-3664,SR007,1,3D,0.85,0.5329624518261676
SR007-CR1-3600-3664,SR007,1,3D,0.9,0.3609859266173647
SR007-CR1-3600-3664,SR007,1,3D,0.95,0.05550769794545096
SR007-CR1-3600-3664,SR007,1,2D,0.5,0.7430387158240442
SR007-CR1-3600-3664,SR007,1,2D,0.55,0.7430387158240442
SR007-CR1-3600-3664,SR007,1,2D,0.6,0.7318780015385802
SR007-CR1-3600-3664,SR007,1,2D,0.65,0.719023683806545
SR007-CR1-3600-3664,SR007,1,2D,0.7,0.7000427171516419
SR007-CR1-3600-3664,SR007,1,2D,0.75,0.6688666285458168
SR007-CR1-3600-3664,SR007,1,2D,0.8,0.578685300310835
SR007-CR1-3600-3664,SR007,1,2D,0.85,0.40919910417152666
SR007-CR1-3600-3664,SR007,1,2D,0.9,0.26208977021746527
SR007-CR1-3600-3664,SR007,1,2D,0.95,0.05918723690276497
SR007-CR1-4670-4734,SR007,1,3D,0.5,0.7080124985046146
SR007-CR1-4670-4734,SR007,1,3D,0.55,0.6600471168339505
SR007-CR1-4670-4734,SR007,1,3D,0.6,0.5966026965139736
SR007-CR1-4670-4734,SR007,1,3D,0.65,0.5384553524712042
SR007-CR1-4670-4734,SR007,1,3D,0.7,0.49093538236295414
SR007-CR1-4670-4734,SR007,1,3D,0.75,0.4312636651925344
SR007-CR1-4670-4734,SR007,1,3D,0.8,0.3782901803451746
SR007-CR1-4670-4734,SR007,1,3D,0.85,0.30869045699504444
SR007-CR1-4670-4734,SR007,1,3D,0.9,0.16552314284482939
SR007-CR1-4670-4734,SR007,1,3D,0.95,0.032214119044732696
SR007-CR1-4670-4734,SR007,1,2D,0.5,0.6390848506635703
SR007-CR1-4670-4734,SR007,1,2D,0.55,0.6285573683942884
SR007-CR1-4670-4734,SR007,1,2D,0.6,0.6084145015098069
SR007-CR1-4670-4734,SR007,1,2D,0.65,0.5600148823202983
SR007-CR1-4670-4734,SR007,1,2D,0.7,0.5218368013441399
SR007-CR1-4670-4734,SR007,1,2D,0.75,0.44965455225542855
SR007-CR1-4670-4734,SR007,1,2D,0.8,0.3740292184737781
SR007-CR1-4670-4734,SR007,1,2D,0.85,0.2909219458273067
SR007-CR1-4670-4734,SR007,1,2D,0.9,0.14267884988847374
SR007-CR1-4670-4734,SR007,1,2D,0.95,0.04210615773026668
SR007-CR1-5470-5534,SR007,1,3D,0.5,0.8728882625684902
SR007-CR1-5470-5534,SR007,1,3D,0.55,0.8284755343335497
SR007-CR1-5470-5534,SR007,1,3D,0.6,0.8145866454450466
SR007-CR1-5470-5534,SR007,1,3D,0.65,0.8072337042687923
SR007-CR1-5470-5534,SR007,1,3D,0.7,0.764085609651353
SR007-CR1-5470-5534,SR007,1,3D,0.75,0.7419896500560454
SR007-CR1-5470-5534,SR007,1,3D,0.8,0.6544619485603136
SR007-CR1-5470-5534,SR007,1,3D,0.85,0.5437282201828024
SR007-CR1-5470-5534,SR007,1,3D,0.9,0.34449723786947284
SR007-CR1-5470-5534,SR007,1,3D,0.95,0.05707411957248694
SR007-CR1-5470-5534,SR007,1,2D,0.5,0.7725378207749857
SR007-CR1-5470-5534,SR007,1,2D,0.55,0.759183119920642
SR007-CR1-5470-5534,SR007,1,2D,0.6,0.7255276671871496
SR007-CR1-5470-5534,SR007,1,2D,0.65,0.71200427537465
SR007-CR1-5470-5534,SR007,1,2D,0.7,0.6838180008656412
