id,subject,fold,model,cls,bfscore
SR009-CL1-6980-7044,SR009,3,2D,epi,0.4908413449206349
SR009-CL1-6980-7044,SR009,3,GT,fas,0.6910963055555556
SR009-CL1-6980-7044,SR009,3,GT,epi,0.7004206866666667
SR009-CL2-2000-2064,SR009,3,3D,fas,0.764332943968254
SR009-CL2-2000-2064,SR009,3,3D,epi,0.7469283449206349
SR009-CL2-2000-2064,SR009,3,2D,fas,0.49009041682539684
SR009-CL2-2000-2064,SR009,3,2D,epi,0.605054244920635
SR009-CL2-2000-2064,SR009,3,GT,fas,0.6945100933333334
SR009-CL2-2000-2064,SR009,3,GT,epi,0.6795588884126984
SR009-CL2-3128-3192,SR009,3,3D,fas,0.820609803015873
SR009-CL2-3128-3192,SR009,3,3D,epi,0.7960779222222222
SR009-CL2-3128-3192,SR009,3,2D,fas,0.514604993968254
SR009-CL2-3128-3192,SR009,3,2D,epi,0.635105036984127
SR009-CL2-3128-3192,SR009,3,GT,fas,0.7399938885714286
SR009-CL2-3128-3192,SR009,3,GT,epi,0.7330228441269842
SR009-CL2-6610-6674,SR009,3,3D,fas,0.8693057838095238
SR009-CL2-6610-6674,SR009,3,3D,epi,0.8542666915873016
SR009-CL2-6610-6674,SR009,3,2D,fas,0.482552163015873
SR009-CL2-6610-6674,SR009,3,2D,epi,0.6497344882539683
SR009-CL2-6610-6674,SR009,3,GT,fas,0.8133366238095238
SR009-CL2-6610-6674,SR009,3,GT,epi,0.7952149985714285
SR009-CL2-7170-7234,SR009,3,3D,fas,0.7989722761904762
SR009-CL2-7170-7234,SR009,3,3D,epi,0.7781161915873016
SR009-CL2-7170-7234,SR009,3,2D,fas,0.553056295079365
SR009-CL2-7170-7234,SR009,3,2D,epi,0.6489995542857143
SR009-CL2-7170-7234,SR009,3,GT,fas,0.7298171025396826
SR009-CL2-7170-7234,SR009,3,GT,epi,0.7211474073015873
SR009-CL2-910-974,SR009,3,3D,fas,0.7268020680952381
