id,subject,fold,model,area_category,missed_rate
SR008-TR1-1760-1824,SR008,2,2D,Large,13.333333333333334
SR008-TR1-2060-2124,SR008,2,3D,Tiny,11.042944785276074
SR008-TR1-2060-2124,SR008,2,3D,Small,4.166666666666666
SR008-TR1-2060-2124,SR008,2,3D,Medium,4.878048780487805
SR008-TR1-2060-2124,SR008,2,3D,Large,5
SR008-TR1-2060-2124,SR008,2,2D,Tiny,16.939890710382514
SR008-TR1-2060-2124,SR008,2,2D,Small,4.444444444444445
SR008-TR1-2060-2124,SR008,2,2D,Medium,4.615384615384616
SR008-TR1-670-734,SR008,2,3D,Small,36.507936507936506
SR008-TR1-670-734,SR008,2,3D,Medium,12.5
SR008-TR1-670-734,SR008,2,2D,Small,44.44444444444444
SR008-TR1-670-734,SR008,2,2D,Medium,16.129032258064516
SR009-CL1-3900-3964,SR009,3,3D,Small,13.333333333333334
SR009-CL1-3900-3964,SR009,3,3D,Large,15.555555555555555
SR009-CL1-3900-3964,SR009,3,2D,Small,13.23529411764706
SR009-CL1-3900-3964,SR009,3,2D,Medium,14.285714285714285
SR009-CL1-3900-3964,SR009,3,2D,Large,23.333333333333332
SR009-CL1-4400-4464,SR009,3,3D,Tiny,17.97752808988764
SR009-CL1-4400-4464,SR009,3,3D,Small,25.842696629213485
SR009-CL1-4400-4464,SR009,3,3D,Medium,5.681818181818182
SR009-CL1-4400-4464,SR009,3,2D,Tiny,17.97752808988764
SR009-CL1-4400-4464,SR009,3,2D,Small,24.719101123595504
SR009-CL1-4400-4464,SR009,3,2D,Medium,4.477611940298507
SR009-CL1-5380-5444,SR009,3,3D,Tiny,14.619883040935672
SR009-CL1-5380-5444,SR009,3,3D,Small,8.771929824561402
SR009-CL1-5380-5444,SR009,3,3D,Medium,6.8181818181818175
SR009-CL1-5380-5444,SR009,3,2D,Tiny,17.543859649122805
SR009-CL1-5380-5444,SR009,3,2D,Small,20.46783625730994
SR009-CL1-5380-5444,SR009,3,2D,Medium,6.2015503875969
SR009-CL1-5380-5444,SR009,3,2D,Large,4.761904761904762
SR009-CL1-6980-7044,SR009,3,3D,Tiny,12.578616352201259
SR009-CL1-6980-7044,SR009,3,3D,Small,15.107913669064748
SR009-CL1-6980-7044,SR009,3,3D,Medium,15.476190476190476
SR009-CL1-6980-7044,SR009,3,3D,Large,4.761904761904762
SR009-CL1-6980-7044,SR009,3,2D,Tiny,15.09433962264151
SR009-CL1-6980-7044,SR009,3,2D,Small,15.723270440251572
SR009-CL1-6980-7044,SR009,3,2D,Medium,16.666666666666664
SR009-CL1-6980-7044,SR009,3,2D,Large,7.1942446043165464
SR009-CL2-2000-2064,SR009,3,3D,Tiny,11.052631578947368
SR009-CL2-2000-2064,SR009,3,3D,Small,8.421052631578947
