id,subject,fold,model,class,DSC,IoU,Sensitivity,Specificity,tp,fp,fn,tn
SR009-TR1-2930-2994,SR009,3,2D,epi,0.9345352269933009,0.8771150869268816,0.903771658205513,0.9995858352681126,3669425,123392,390699,297806370
SR009-TR1-2930-2994,SR009,3,2D,fas,0.8484265223661078,0.7367541358362538,0.9168485439158297,0.9991365345159726,974599,259840,88389,300667070
SR009-TR1-5300-5364,SR009,3,3D,epi,0.918155834714674,0.8486950932277009,0.9040770432713989,0.9994321148435231,2355476,170016,249917,299214460
SR009-TR1-5300-5364,SR009,3,3D,fas,0.8176424949739787,0.6915357592761116,0.8934255584591609,0.9992448610389404,696075,227456,83033,300983330
SR009-TR1-5300-5364,SR009,3,2D,epi,0.8989164772548014,0.8163926338790735,0.8803355194398695,0.9993183881445498,2293620,204064,311773,299180400
SR009-TR1-5300-5364,SR009,3,2D,fas,0.7636364938934657,0.6176472292507678,0.82087335773730985,0.9991489282080215,639549,256352,139559,300954430
SR010-CL1-4068-4132,SR010,4,3D,epi,0.9391335337052447,0.885251408676643,0.952955905507675,0.9984254027630951,5805415,465920,286593,295431970
SR010-CL1-4068-4132,SR010,4,3D,fas,0.9474829508540211,0.9002067487864607,0.9372554483010472,0.9992692402222865,4937995,216832,330574,296504480
SR010-CL1-4068-4132,SR010,4,2D,epi,0.9182639040677736,0.848879784561895,0.9599396455158956,0.9973064221033767,5847960,797024,244048,295100860
SR010-CL1-4068-4132,SR010,4,2D,fas,0.9232628666341295,0.8574635702848086,0.8904564028676477,0.9993168000196279,4691431,202720,577138,296518600
SR010-CL1-6954-7018,SR010,4,3D,epi,0.9059630525659907,0.8280918251352176,0.8455858423825968,0.9994840535727811,6087857,152096,1111716,294638200
SR010-CL1-6954-7018,SR010,4,3D,fas,0.9425949036884698,0.8914226978633405,0.9495534065281034,0.9993570929988305,2799480,192256,148727,298849440
SR010-CL1-6954-7018,SR010,4,2D,epi,0.9153676055224977,0.843942712925752,0.8687786067312603,0.9992812789343389,6254835,211872,944738,294578430
SR010-CL1-6954-7018,SR010,4,2D,fas,0.9321797077073584,0.8729743332615838,0.9313043487109284,0.9993412557336654,2745678,196992,202529,298844700
SR010-CL2-1125-1189,SR010,4,3D,epi,0.9209451197793823,0.8534738470309229,0.875012794932465,0.9995411418632945,4718734,136096,674026,296461020
SR010-CL2-1125-1189,SR010,4,3D,fas,0.9173672920069995,0.8473485839049031,0.9401415939959284,0.999387941999193,1577991,183808,100470,300127600
SR010-CL2-1125-1189,SR010,4,2D,epi,0.9253226718366535,0.861023720876345,0.8930022845444633,0.9993247136002178,4815747,200288,577013,296396830
SR010-CL2-1125-1189,SR010,4,2D,fas,0.9065217243089404,0.8290258201389819,0.9109928678712225,0.9994474003056734,1529066,165952,149395,300145470
SR010-CL2-3303-3367,SR010,4,3D,epi,0.8924871594676331,0.8058481371995889,0.8236680255962475,0.9998010269617554,2218180,59552,474871,299237280
SR010-CL2-3303-3367,SR010,4,3D,fas,0.9245322707345218,0.8596559855551946,0.9409035603966048,0.9997405259583716,777956,78144,48862,301084930
SR010-CL2-3303-3367,SR010,4,2D,epi,0.9123934485457234,0.8389002873564252,0.8664722651000668,0.9997042668330014,2333454,88512,359597,299208320
SR010-CL2-3303-3367,SR010,4,2D,fas,0.9027956325326632,0.8228144722177647,0.9054205399495415,0.9997243752344827,748618,83008,78200,301080060
SR010-CL2-997-1061,SR010,4,3D,epi,0.9300162447415956,0.8691872565083886,0.8964018025672,0.999433956394388,4807021,167904,555553,296459420
SR010-CL2-997-1061,SR010,4,3D,fas,0.9211343846662733,0.8537990010751597,0.9296301058097229,0.9994753652850478,1648580,157504,124792,300059000
