id,subject,fold,model,cls,metric,value
SR011-CL2-4040-4104,SR011,5,3D,fas,cl_dice,0.8861589051718783
SR011-CL2-4040-4104,SR011,5,3D Base,fas,cl_dice,0.9015688856070988
SR011-CR1-1850-1914,SR011,5,3D,fas,cl_dice,0.3514215194076303
SR011-CR1-1850-1914,SR011,5,3D Base,fas,cl_dice,0.41652903882139675
SR011-CR1-6100-6164,SR011,5,3D,fas,cl_dice,0.9940858602691858
SR011-CR1-6100-6164,SR011,5,3D Base,fas,cl_dice,0.9795252252991654
SR011-CR1-6780-6844,SR011,5,3D,fas,cl_dice,0.9369938901830768
SR011-CR1-6780-6844,SR011,5,3D Base,fas,cl_dice,0.9758940582738947
SR011-TL1-4428-4492,SR011,5,3D,fas,cl_dice,1
SR011-TL1-4428-4492,SR011,5,3D Base,fas,cl_dice,1
SR011-TL1-5500-5564,SR011,5,3D,fas,cl_dice,0.9735849056603774
SR011-TL1-5500-5564,SR011,5,3D Base,fas,cl_dice,0.9950738916256158
SR011-TL1-6164-6228,SR011,5,3D,fas,cl_dice,0.9304174950298212
SR011-TL1-6164-6228,SR011,5,3D Base,fas,cl_dice,0.9365079365079364
SR011-TL1-6700-6764,SR011,5,3D,fas,cl_dice,0.9773123909249564
SR011-TL1-6700-6764,SR011,5,3D Base,fas,cl_dice,0.9588607594936708
SR011-TL1-7148-7212,SR011,5,3D,fas,cl_dice,0.8589522342064715
SR011-TL1-7148-7212,SR011,5,3D Base,fas,cl_dice,0.8708952930329323
SR011-TL1-7268-7332,SR011,5,3D,fas,cl_dice,0.960961546696515
SR011-TL1-7268-7332,SR011,5,3D Base,fas,cl_dice,0.9536074603464264
SR011-TL1-7428-7492,SR011,5,3D,fas,cl_dice,0.9392027214090066
SR011-TL1-7428-7492,SR011,5,3D Base,fas,cl_dice,0.9360483783053256
SR011-TL1-7492-7556,SR011,5,3D,fas,cl_dice,0.906709057092651
SR011-TL1-7492-7556,SR011,5,3D Base,fas,cl_dice,0.9581157012387546
SR011-TL1-7556-7620,SR011,5,3D,fas,cl_dice,0.9085344811623284
SR011-TL1-7556-7620,SR011,5,3D Base,fas,cl_dice,0.9078048334674296
SR011-TL1-7620-7684,SR011,5,3D,fas,cl_dice,0.9201608002617678
SR011-TL1-7620-7684,SR011,5,3D Base,fas,cl_dice,0.9107218963732672
SR011-TL1-7684-7748,SR011,5,3D,fas,cl_dice,0.8913007146655446
SR011-TL1-7684-7748,SR011,5,3D Base,fas,cl_dice,0.8809304751042086
SR011-TL1-7748-7812,SR011,5,3D,fas,cl_dice,0.8294281865025902
SR011-TL1-7748-7812,SR011,5,3D Base,fas,cl_dice,0.7658726059862019
SR011-TL1-7812-7876,SR011,5,3D,fas,cl_dice,0.891490342419478
SR011-TL1-7812-7876,SR011,5,3D Base,fas,cl_dice,0.8858254594157257
